2025-08-21 10:15:35 status config-files libc-devtools:amd64 2.39-0ubuntu8.5
2025-08-21 10:15:35 status not-installed libc-devtools:amd64 <none>
2025-08-21 10:15:35 status installed libgd3:amd64 2.3.3-9ubuntu5
2025-08-21 10:15:35 remove libgd3:amd64 2.3.3-9ubuntu5 <none>
2025-08-21 10:15:35 status triggers-pending libc-bin:amd64 2.39-0ubuntu8.5
2025-08-21 10:15:35 status half-configured libgd3:amd64 2.3.3-9ubuntu5
2025-08-21 10:15:35 status half-installed libgd3:amd64 2.3.3-9ubuntu5
2025-08-21 10:15:35 status config-files libgd3:amd64 2.3.3-9ubuntu5
2025-08-21 10:15:35 status not-installed libgd3:amd64 <none>
2025-08-21 10:15:35 status installed libfontconfig1:amd64 2.15.0-1.1ubuntu2
2025-08-21 10:15:35 remove libfontconfig1:amd64 2.15.0-1.1ubuntu2 <none>
2025-08-21 10:15:35 status half-configured libfontconfig1:amd64 2.15.0-1.1ubuntu2
2025-08-21 10:15:35 status half-installed libfontconfig1:amd64 2.15.0-1.1ubuntu2
2025-08-21 10:15:35 status config-files libfontconfig1:amd64 2.15.0-1.1ubuntu2
2025-08-21 10:15:35 status not-installed libfontconfig1:amd64 <none>
2025-08-21 10:15:35 status installed fontconfig-config:amd64 2.15.0-1.1ubuntu2
2025-08-21 10:15:35 remove fontconfig-config:amd64 2.15.0-1.1ubuntu2 <none>
2025-08-21 10:15:35 status half-configured fontconfig-config:amd64 2.15.0-1.1ubuntu2
2025-08-21 10:15:35 status half-installed fontconfig-config:amd64 2.15.0-1.1ubuntu2
2025-08-21 10:15:35 status triggers-pending sgml-base:all 1.31
2025-08-21 10:15:35 status config-files fontconfig-config:amd64 2.15.0-1.1ubuntu2
2025-08-21 10:15:35 status installed fonts-dejavu-core:all 2.37-8
2025-08-21 10:15:35 remove fonts-dejavu-core:all 2.37-8 <none>
2025-08-21 10:15:35 status half-configured fonts-dejavu-core:all 2.37-8
2025-08-21 10:15:35 status half-installed fonts-dejavu-core:all 2.37-8
2025-08-21 10:15:35 status config-files fonts-dejavu-core:all 2.37-8
2025-08-21 10:15:35 status installed fonts-dejavu-mono:all 2.37-8
2025-08-21 10:15:35 remove fonts-dejavu-mono:all 2.37-8 <none>
2025-08-21 10:15:35 status half-configured fonts-dejavu-mono:all 2.37-8
2025-08-21 10:15:35 status half-installed fonts-dejavu-mono:all 2.37-8
2025-08-21 10:15:35 status config-files fonts-dejavu-mono:all 2.37-8
2025-08-21 10:15:36 status installed libheif-plugin-aomenc:amd64 1.17.6-1ubuntu4.1
2025-08-21 10:15:36 remove libheif-plugin-aomenc:amd64 1.17.6-1ubuntu4.1 <none>
2025-08-21 10:15:36 status half-configured libheif-plugin-aomenc:amd64 1.17.6-1ubuntu4.1
2025-08-21 10:15:36 status half-installed libheif-plugin-aomenc:amd64 1.17.6-1ubuntu4.1
2025-08-21 10:15:36 status config-files libheif-plugin-aomenc:amd64 1.17.6-1ubuntu4.1
2025-08-21 10:15:36 status not-installed libheif-plugin-aomenc:amd64 <none>
2025-08-21 10:15:36 status installed libheif-plugin-libde265:amd64 1.17.6-1ubuntu4.1
2025-08-21 10:15:36 status installed libheif1:amd64 1.17.6-1ubuntu4.1
2025-08-21 10:15:36 status installed libheif-plugin-aomdec:amd64 1.17.6-1ubuntu4.1
2025-08-21 10:15:36 status installed libaom3:amd64 3.8.2-2ubuntu0.1
2025-08-21 10:15:36 status installed libc-dev-bin:amd64 2.39-0ubuntu8.5
2025-08-21 10:15:36 remove libc-dev-bin:amd64 2.39-0ubuntu8.5 <none>
2025-08-21 10:15:36 status half-configured libc-dev-bin:amd64 2.39-0ubuntu8.5
2025-08-21 10:15:36 status half-installed libc-dev-bin:amd64 2.39-0ubuntu8.5
2025-08-21 10:15:36 status config-files libc-dev-bin:amd64 2.39-0ubuntu8.5
2025-08-21 10:15:36 status not-installed libc-dev-bin:amd64 <none>
2025-08-21 10:15:36 status installed libcrypt-dev:amd64 1:4.4.36-4build1
2025-08-21 10:15:36 remove libcrypt-dev:amd64 1:4.4.36-4build1 <none>
2025-08-21 10:15:36 status half-configured libcrypt-dev:amd64 1:4.4.36-4build1
2025-08-21 10:15:36 status half-installed libcrypt-dev:amd64 1:4.4.36-4build1
2025-08-21 10:15:36 status config-files libcrypt-dev:amd64 1:4.4.36-4build1
2025-08-21 10:15:36 status installed libde265-0:amd64 1.0.15-1build3
2025-08-21 10:15:36 status installed libtiff6:amd64 4.5.1+git230720-4ubuntu2.3
2025-08-21 10:15:36 remove libtiff6:amd64 4.5.1+git230720-4ubuntu2.3 <none>
2025-08-21 10:15:36 status half-configured libtiff6:amd64 4.5.1+git230720-4ubuntu2.3
2025-08-21 10:15:36 status half-installed libtiff6:amd64 4.5.1+git230720-4ubuntu2.3
2025-08-21 10:15:36 status config-files libtiff6:amd64 4.5.1+git230720-4ubuntu2.3
2025-08-21 10:15:36 status not-installed libtiff6:amd64 <none>
2025-08-21 10:15:36 status installed libdeflate0:amd64 1.19-1build1.1
2025-08-21 10:15:36 remove libdeflate0:amd64 1.19-1build1.1 <none>
2025-08-21 10:15:36 status half-configured libdeflate0:amd64 1.19-1build1.1
2025-08-21 10:15:36 status half-installed libdeflate0:amd64 1.19-1build1.1
2025-08-21 10:15:36 status config-files libdeflate0:amd64 1.19-1build1.1
2025-08-21 10:15:36 status not-installed libdeflate0:amd64 <none>
2025-08-21 10:15:36 status installed libjbig0:amd64 2.1-6.1ubuntu2
2025-08-21 10:15:36 remove libjbig0:amd64 2.1-6.1ubuntu2 <none>
2025-08-21 10:15:36 status half-configured libjbig0:amd64 2.1-6.1ubuntu2
